X,Y,Z,r,absv
-0.0969598,0,0.428075,0.00305,2.843e-05
-0.091608,0,0.431777,0.00305,1.56501e-05
-0.0846365,0,0.427194,0.00305,5.00382e-05
-0.0786651,0,0.42595,0.00305,3.9639e-05
-0.0966557,0,0.421685,0.00335,3.06569e-05
-0.0862519,0,0.420951,0.0034,4.52152e-05
-0.096762,0,0.415095,0.00325,2.55252e-05
-0.0900283,0,0.415196,0.0035,4.16391e-05
-0.0741229,0,0.416485,0.0035,3.63726e-05
-0.083398,0,0.4147,0.00315,7.26395e-05
-0.079813,0,0.419878,0.00315,3.54852e-05
-0.0860642,0,0.434739,0.00325,1.90101e-05
-0.0969591,0,0.434683,0.00305,3.01673e-05
-0.0773372,0,0.410341,0.00345,3.72428e-05
-0.0685714,0,0.412605,0.0033,7.87875e-06
-0.0798314,0,0.43232,0.00345,5.17369e-05
-0.0863146,0,0.441018,0.00305,4.42547e-05
-0.0743169,0,0.435645,0.003,8.2736e-05
-0.073794,0,0.429621,0.00305,8.74774e-05
-0.0556563,0,0.41358,0.00315,8.23059e-05
-0.0621165,0,0.41414,0.00335,6.17399e-05
-0.0714682,0,0.406846,0.00315,3.66129e-05
-0.057549,0,0.407535,0.0032,7.76389e-05
-0.0899748,0,0.408507,0.0032,7.76286e-05
-0.096609,0,0.408461,0.0034,1.06709e-05
-0.0911888,0,0.425455,0.0033,3.41781e-05
-0.0640858,0,0.407794,0.0033,4.09439e-05
-0.0794207,0,0.404202,0.00305,8.02606e-05
-0.0675831,0,0.401635,0.00335,5.22509e-05
-0.0535036,0,0.402844,0.003,5.64732e-05
-0.0680298,0,0.431615,0.00305,0.000124907
-0.0684706,0,0.438092,0.00335,5.05312e-05
-0.074056,0,0.401105,0.00315,6.53603e-05
-0.0609497,0,0.402013,0.0033,6.82445e-05
-0.0473321,0,0.404081,0.0033,8.01112e-05
-0.0513913,0,0.40902,0.0031,9.83184e-05
-0.0495833,0,0.39776,0.00335,0.000121088
-0.0668408,0,0.425634,0.00305,0.000120959
-0.0605858,0,0.427359,0.00345,0.000103103
-0.0824253,0,0.39857,0.00335,2.88816e-05
-0.089081,0,0.397241,0.00345,3.3688e-05
-0.0867184,0,0.40324,0.003,4.65751e-05
-0.0452219,0,0.410337,0.00305,6.80993e-05
-0.0671201,0,0.419094,0.00335,5.03824e-05
-0.0606476,0,0.420618,0.0033,7.51871e-05
-0.0540771,0,0.425822,0.00325,4.24341e-05
-0.049587,0,0.430149,0.003,3.62191e-05
-0.055679,0,0.432274,0.0034,0.000101811
-0.0485518,0,0.421535,0.0032,6.10625e-05
-0.0544323,0,0.419593,0.003,6.53669e-05
-0.0930582,0,0.402738,0.00335,2.21154e-05
-0.0430599,0,0.416481,0.0032,3.39511e-05
-0.0494036,0,0.415102,0.0033,7.13596e-05
-0.049489,0,0.43668,0.0035,0.000132297
-0.0619691,0,0.433699,0.00305,7.84783e-05
-0.0391265,0,0.428325,0.003,4.43781e-05
-0.0372203,0,0.434221,0.0032,6.41549e-05
-0.0638602,0,0.39633,0.0031,7.59724e-05
-0.0563721,0,0.397017,0.0035,6.39716e-05
-0.0448273,0,0.426474,0.003,4.58291e-05
-0.0970054,0,0.397776,0.003,1.22907e-05
-0.0901734,0,0.3908,0.0031,3.1663e-05
-0.09662,0,0.391396,0.0034,7.09159e-06
-0.0841893,0,0.392378,0.0031,3.24656e-05
-0.0402993,0,0.422245,0.0032,3.10184e-05
-0.0353341,0,0.417979,0.00335,8.17644e-05
-0.0728213,0,0.423249,0.0034,6.93845e-05
-0.0966544,0,0.384651,0.00335,1.17588e-05
-0.0860445,0,0.386209,0.0031,3.88156e-05
-0.0766121,0,0.394973,0.0035,4.8223e-05
-0.0837295,0,0.408512,0.00305,7.91021e-05
-0.0288078,0,0.418939,0.00325,0.000130026
-0.0383001,0,0.411994,0.00335,7.37458e-05
-0.0342373,0,0.424464,0.00325,6.11154e-05
-0.0906733,0,0.381876,0.00325,1.40819e-05
-0.0364567,0,0.400557,0.0031,0.000119129
-0.0389073,0,0.393657,0.00315,0.000279768
-0.0326357,0,0.395362,0.00335,0.000159351
-0.0428619,0,0.398969,0.0035,0.00039365
-0.0597644,0,0.391323,0.00315,4.74642e-05
-0.0790585,0,0.388739,0.0032,4.18001e-05
-0.0809624,0,0.382791,0.00305,4.54275e-05
-0.0851204,0,0.378404,0.003,2.96346e-05
-0.0339301,0,0.406862,0.0034,0.000101978
-0.0271318,0,0.407656,0.00345,9.19546e-05
-0.0312333,0,0.412881,0.0032,0.000101333
-0.0554295,0,0.439526,0.0031,0.000102872
-0.0417677,0,0.445449,0.00325,0.000155891
-0.041428,0,0.439031,0.0032,9.43698e-05
-0.0295115,0,0.389722,0.0031,0.000355657
-0.0263124,0,0.396479,0.003,0.000250112
-0.0701116,0,0.395757,0.00305,7.44806e-05
-0.0727938,0,0.389669,0.00305,3.71718e-05
-0.075,0,0.383999,0.00305,3.44868e-05
-0.0791144,0,0.37684,0.0032,6.26716e-05
-0.0688104,0,0.384407,0.0031,9.5907e-05
-0.0242415,0,0.413974,0.0035,0.000117262
-0.0738019,0,0.441722,0.0031,7.2584e-05
-0.0795566,0,0.438949,0.0032,3.68933e-05
-0.081499,0,0.445134,0.0033,1.17748e-05
-0.0349817,0,0.440424,0.0034,8.63129e-05
-0.0402624,0,0.45185,0.00335,0.00015546
-0.053866,0,0.445427,0.003,7.04485e-05
-0.0354317,0,0.447108,0.0033,7.78094e-05
-0.0407081,0,0.405604,0.0035,0.000126866
-0.0299626,0,0.401538,0.00325,0.000170691
-0.0110534,0,0.413612,0.0031,6.18767e-05
-0.00711612,0,0.418452,0.00315,4.40819e-05
-0.0207079,0,0.419897,0.0034,0.000178356
-0.0555112,0,0.386026,0.0034,0.000135281
-0.0522247,0,0.391768,0.0032,6.94133e-05
-0.0665178,0,0.390525,0.0033,5.84754e-05
-0.0965548,0,0.377854,0.00345,5.0338e-05
-0.084121,0,0.371492,0.00335,4.74049e-05
-0.049256,0,0.449863,0.0034,4.96907e-05
-0.0458002,0,0.455774,0.00345,0.000102747
-0.0338937,0,0.453895,0.00335,0.000145603
-0.0134778,0,0.396814,0.00315,7.56382e-05
-0.0199744,0,0.39683,0.00335,0.000107456
-0.0619779,0,0.440239,0.0035,6.86902e-05
