X,Y,Z,r,absv
-0.95321,-0.48117,-0.483963,0.016,2.24473e-06
-0.964713,-0.473738,-0.48402,0.016,2.24473e-06
-0.953797,-0.467855,-0.484022,0.016,2.24473e-06
-0.90125,-0.483626,-0.484002,0.016,6.19634e-07
-0.911205,-0.474221,-0.484002,0.016,6.19634e-07
-0.8994,-0.470427,-0.484002,0.016,6.19634e-07
-0.843863,-0.484008,-0.484006,0.016,2.01921e-06
-0.852553,-0.473423,-0.484011,0.016,2.01921e-06
-0.840363,-0.471148,-0.484009,0.016,2.01921e-06
-0.790629,-0.484014,-0.483857,0.016,1.23881e-06
-0.798425,-0.472755,-0.484021,0.016,1.23881e-06
-0.786113,-0.471488,-0.483262,0.016,1.23881e-06
-0.735973,-0.483966,-0.48378,0.016,1.00449e-06
-0.743605,-0.472597,-0.484019,0.016,1.00449e-06
-0.731253,-0.471503,-0.483946,0.016,1.00449e-06
-0.680608,-0.483258,-0.483676,0.016,1.70714e-06
-0.688984,-0.472428,-0.484018,0.016,1.70714e-06
-0.676737,-0.470504,-0.48375,0.016,1.70714e-06
-0.628751,-0.483997,-0.483869,0.016,3.92631e-06
-0.636689,-0.472837,-0.484024,0.016,3.92631e-06
-0.624375,-0.471408,-0.483706,0.016,3.92631e-06
-0.57314,-0.483942,-0.483999,0.016,4.14756e-06
-0.582297,-0.473758,-0.484016,0.016,4.14756e-06
-0.570225,-0.470939,-0.483728,0.016,4.14756e-06
-0.519121,-0.483554,-0.483939,0.016,3.56241e-06
-0.527147,-0.472458,-0.484022,0.016,3.56241e-06
-0.514841,-0.470932,-0.484021,0.016,3.56241e-06
-0.466014,-0.484007,-0.483689,0.016,2.66602e-06
-0.473098,-0.472291,-0.484011,0.016,2.66602e-06
-0.460709,-0.471784,-0.484003,0.016,2.66602e-06
-0.411258,-0.483925,-0.484002,0.016,6.57366e-07
-0.418772,-0.472476,-0.484002,0.016,6.57366e-07
-0.40641,-0.47151,-0.484002,0.016,6.57366e-07
-0.35639,-0.483803,-0.484003,0.016,1.80492e-06
-0.36406,-0.472457,-0.484004,0.016,1.80492e-06
-0.351712,-0.471322,-0.484003,0.016,1.80492e-06
-0.302568,-0.483989,-0.483991,0.016,4.48939e-06
-0.310882,-0.473106,-0.483966,0.016,4.48939e-06
-0.298621,-0.471258,-0.484014,0.016,4.48939e-06
-0.249353,-0.483995,-0.483747,0.016,4.10334e-06
-0.256068,-0.472062,-0.484015,0.016,4.10334e-06
-0.243668,-0.471943,-0.484007,0.016,4.10334e-06
-0.196135,-0.483962,-0.484002,0.016,6.65197e-07
-0.20375,-0.472579,-0.484002,0.016,6.65197e-07
-0.191396,-0.471505,-0.484002,0.016,6.65197e-07
-0.140787,-0.483986,-0.484011,0.016,9.86324e-06
-0.148956,-0.472994,-0.484019,0.016,9.86324e-06
-0.136671,-0.47131,-0.483855,0.016,9.86324e-06
-0.0868972,-0.483983,-0.484,0.016,2.62941e-05
-0.0953078,-0.473175,-0.484014,0.016,2.62941e-05
-0.0830666,-0.471221,-0.483707,0.016,2.62941e-05
-0.0347683,-0.483707,-0.483947,0.016,3.13244e-05
-0.0424266,-0.472353,-0.484008,0.016,3.13244e-05
-0.0300774,-0.471231,-0.484019,0.016,3.13244e-05
0.021204,-0.483587,-0.483976,0.016,4.57236e-05
0.0129283,-0.472675,-0.483975,0.016,4.57236e-05
0.0251963,-0.470871,-0.48402,0.016,4.57236e-05
0.074093,-0.483915,-0.484004,0.016,3.67509e-05
0.0663806,-0.472597,-0.484003,0.016,3.67509e-05
0.0787162,-0.471423,-0.483542,0.016,3.67509e-05
0.127751,-0.483986,-0.484,0.016,4.59237e-05
0.120768,-0.472205,-0.484021,0.016,4.59237e-05
0.133162,-0.471805,-0.484012,0.016,4.59237e-05
0.18253,-0.484005,-0.483982,0.016,3.0847e-05
0.17415,-0.473172,-0.484003,0.016,3.0847e-05
0.1864,-0.471251,-0.484004,0.016,3.0847e-05
0.236657,-0.483967,-0.483979,0.016,2.47948e-05
0.228623,-0.472875,-0.484017,0.016,2.47948e-05
0.240928,-0.471341,-0.484006,0.016,2.47948e-05
0.29033,-0.484006,-0.483996,0.016,1.42393e-05
0.282063,-0.473087,-0.484013,0.016,1.42393e-05
0.294332,-0.471293,-0.484018,0.016,1.42393e-05
0.343827,-0.483721,-0.484003,0.016,6.99856e-06
0.335663,-0.472725,-0.484004,0.016,6.99856e-06
0.347944,-0.47105,-0.483629,0.016,6.99856e-06
0.398149,-0.483783,-0.483969,0.016,1.58462e-05
0.389945,-0.472817,-0.483965,0.016,1.58462e-05
0.402225,-0.471094,-0.484015,0.016,1.58462e-05
0.452019,-0.48395,-0.483982,0.016,1.40411e-05
0.445129,-0.472115,-0.48402,0.016,1.40411e-05
0.457525,-0.471813,-0.484005,0.016,1.40411e-05
0.506749,-0.484003,-0.483927,0.016,2.7542e-06
0.499608,-0.472317,-0.484003,0.016,2.7542e-06
0.511995,-0.471751,-0.484003,0.016,2.7542e-06
0.560065,-0.483971,-0.483587,0.016,7.30461e-06
0.553132,-0.472168,-0.484011,0.016,7.30461e-06
0.565527,-0.471821,-0.484016,0.016,7.30461e-06
0.61478,-0.483827,-0.484004,0.016,1.41777e-06
0.606511,-0.472909,-0.484004,0.016,1.41777e-06
0.61878,-0.471114,-0.48384,0.016,1.41777e-06
0.667337,-0.483994,-0.483974,0.016,2.16268e-06
0.659036,-0.473101,-0.484017,0.016,2.16268e-06
0.671299,-0.471268,-0.484008,0.016,2.16268e-06
0.723462,-0.48346,-0.484008,0.016,1.70048e-06
0.714213,-0.47336,-0.484011,0.016,1.70048e-06
0.72626,-0.470431,-0.483747,0.016,1.70048e-06
0.776257,-0.483741,-0.484005,0.016,4.06905e-06
0.76809,-0.472748,-0.484013,0.016,4.06905e-06
0.780375,-0.471065,-0.483928,0.016,4.06905e-06
0.829884,-0.484012,-0.484005,0.016,2.35077e-06
0.821895,-0.472888,-0.484013,0.016,2.35077e-06
0.834206,-0.471404,-0.483983,0.016,2.35077e-06
0.887822,-0.483998,-0.483461,0.016,3.36488e-06
0.879419,-0.473198,-0.484022,0.016,3.36488e-06
0.891665,-0.471247,-0.484006,0.016,3.36488e-06
0.958214,-0.48402,-0.484021,0.016,1.64297e-06
0.949838,-0.473214,-0.48322,0.016,1.64297e-06
0.962057,-0.471258,-0.484022,0.016,1.64297e-06
-0.939188,-0.43482,-0.480981,0.016,2.02682e-06
-0.94042,-0.421527,-0.484037,0.016,2.02682e-06
-0.929062,-0.426362,-0.482865,0.016,2.02682e-06
-0.868943,-0.439055,-0.484004,0.016,2.90973e-06
-0.878061,-0.428836,-0.48401,0.016,2.90973e-06
-0.865975,-0.426062,-0.484018,0.016,2.90973e-06
-0.813661,-0.438127,-0.484014,0.016,2.26057e-06
-0.821918,-0.427201,-0.483998,0.016,2.26057e-06
-0.809647,-0.425418,-0.484014,0.016,2.26057e-06
-0.760492,-0.4381,-0.484013,0.016,1.45543e-06
-0.768981,-0.427353,-0.484009,0.016,1.45543e-06
-0.756751,-0.425308,-0.48402,0.016,1.45543e-06
-0.706934,-0.437951,-0.484015,0.016,1.34776e-06
-0.713862,-0.426138,-0.484008,0.016,1.34776e-06
-0.701466,-0.425796,-0.484013,0.016,1.34776e-06
-0.654232,-0.438915,-0.484011,0.016,3.85055e-06
-0.662266,-0.427824,-0.484015,0.016,3.85055e-06
-0.649965,-0.426292,-0.483716,0.016,3.85055e-06
-0.599532,-0.437689,-0.48401,0.016,4.73388e-06
-0.608689,-0.427506,-0.483983,0.016,4.73388e-06
-0.596614,-0.424685,-0.484011,0.016,4.73388e-06
-0.544232,-0.439022,-0.484009,0.016,4.5688e-06
-0.552895,-0.428415,-0.484017,0.016,4.5688e-06
-0.5407,-0.426171,-0.484008,0.016,4.5688e-06
-0.490742,-0.438482,-0.484013,0.016,5.40793e-06
-0.498249,-0.427033,-0.483667,0.016,5.40793e-06
-0.485891,-0.426068,-0.484006,0.016,5.40793e-06
-0.436825,-0.438398,-0.484021,0.016,6.39047e-06
-0.444582,-0.427111,-0.484019,0.016,6.39047e-06
-0.432248,-0.425886,-0.483645,0.016,6.39047e-06
-0.382987,-0.439164,-0.484023,0.016,4.88461e-06
-0.392484,-0.429296,-0.484023,0.016,4.88461e-06
-0.380512,-0.426068,-0.483908,0.016,4.88461e-06
-0.329771,-0.438493,-0.484014,0.016,4.1863e-06
-0.33694,-0.426824,-0.484014,0.016,4.1863e-06
-0.324554,-0.426228,-0.484021,0.016,4.1863e-06
-0.274022,-0.437467,-0.484004,0.016,4.92778e-06
-0.280909,-0.425629,-0.483972,0.016,4.92778e-06
-0.268512,-0.425331,-0.484013,0.016,4.92778e-06
-0.220837,-0.438765,-0.484012,0.016,8.44562e-06
-0.22743,-0.426761,-0.484021,0.016,8.44562e-06
-0.215031,-0.426768,-0.483899,0.016,8.44562e-06
-0.165684,-0.438531,-0.484015,0.016,6.89248e-06
-0.173876,-0.427555,-0.484017,0.016,6.89248e-06
-0.161594,-0.425845,-0.484007,0.016,6.89248e-06
-0.111634,-0.438424,-0.484012,0.016,1.38183e-05
-0.120593,-0.428066,-0.48402,0.016,1.38183e-05
-0.108466,-0.425477,-0.484019,0.016,1.38183e-05
-0.0586172,-0.438394,-0.484007,0.016,2.56732e-05
-0.0668271,-0.427433,-0.484014,0.016,2.56732e-05
-0.0545484,-0.425703,-0.484013,0.016,2.56732e-05
-0.00397851,-0.437882,-0.484014,0.016,3.78089e-05
-0.0118372,-0.426666,-0.484004,0.016,3.78089e-05
0.000490116,-0.425325,-0.484015,0.016,3.78089e-05
0.0491812,-0.438022,-0.484014,0.016,3.97265e-05
0.0422426,-0.426215,-0.484015,0.016,3.97265e-05
0.054637,-0.425863,-0.483893,0.016,3.97265e-05
0.102096,-0.438486,-0.484016,0.016,7.16608e-05
0.0938104,-0.427581,-0.48402,0.016,7.16608e-05
0.106072,-0.42577,-0.483641,0.016,7.16608e-05
0.15805,-0.438145,-0.484015,0.016,6.73998e-05
0.148671,-0.428165,-0.484019,0.016,6.73998e-05
0.160681,-0.425079,-0.484007,0.016,6.73998e-05
0.212352,-0.437555,-0.484019,0.016,4.42575e-05
0.203289,-0.427288,-0.484016,0.016,4.42575e-05
0.215389,-0.424578,-0.484012,0.016,4.42575e-05
